#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273817981032587,0.00692422,0.00319579,-0.0170442,9.87608,-0.320823,0.0933739
1636273818005967598,-0.00319579,0.0015979,-0.0197074,9.84735,-0.371101,0.0837971
1636273818006984749,0.0015979,-0.00319579,-0.0165116,9.83538,-0.328006,0.0933739
1636273818009947572,0.00585895,0.00319579,-0.0197074,9.81862,-0.3304,0.0933739
1636273818078968281,0.00106526,0.00106526,-0.0229032,9.87129,-0.347159,0.126893
1636273818103947803,0.00372843,0.000532632,-0.0170442,9.79707,-0.378284,0.122104
1636273818105945879,0.00266316,0.00372843,-0.0207727,9.84256,-0.397437,0.153229
1636273818106991550,0.00213053,0.00426106,-0.0197074,9.85453,-0.339977,0.100556
1636273818109947602,0.0015979,0.00213053,-0.0154463,9.84256,-0.351948,0.071826
1636273818113973036,0.00106526,0.00372843,-0.015979,9.78271,-0.347159,0.11971
1636273818116017737,0.00532632,0.00319579,-0.0191748,9.80186,-0.342371,0.114922
1636273818116950365,0.0015979,0.00372843,-0.0106526,9.88326,-0.361524,0.112527
1636273818119971118,0.00532632,0.00213053,-0.0191748,9.88805,-0.35913,0.100556
1636273818121943387,0.00213053,0.00266316,-0.0207727,9.8282,-0.323217,0.141258
1636273818123969656,0.00106526,-0.0015979,-0.0191748,9.79707,-0.349553,0.0957681
1636273818139943339,0.00372843,0.00372843,-0.02024,9.79228,-0.339977,0.189142
1636273818142948312,0.00213053,0.00319579,-0.0197074,9.80904,-0.332794,0.114922
1636273818144946819,0.00479369,-0.00266316,-0.0165116,9.84256,-0.385466,0.102951
1636273818146955318,0.00106526,0.00372843,-0.0186421,9.86411,-0.354342,0.114922
1636273818148947780,-0.00213053,-0.00106526,-0.0223706,9.82102,-0.361524,0.146046
1636273818149962639,0.00319579,0.000532632,-0.0186421,9.81862,-0.320823,0.134075
1636273818152943694,0.000532632,0.00372843,-0.0186421,9.75398,-0.361524,0.11971
